fault_id,channel,fault_type,param_type,param_value,channel_mad_used,start_idx,end_idx,n_samples,start_ts,end_ts,day,split,overlaps_real_event
0,scd_temp_c,gradual_shift,amplitude_mad_multiple,0.5,0.0133514404296875,183443,183502,60,2026-08-21 03:30:44.316635+00:00,2026-08-21 04:00:14.321606+00:00,2026-08-21,train,False
1,scd_temp_c,gradual_shift,amplitude_mad_multiple,0.5,0.0133514404296875,204389,204448,60,2026-08-28 10:03:46.101369+00:00,2026-08-28 10:33:16.106111+00:00,2026-08-28,train,False
2,scd_temp_c,gradual_shift,amplitude_mad_multiple,0.5,0.0133514404296875,121806,121865,60,2026-07-30 08:53:27.551260+00:00,2026-07-30 09:22:57.556468+00:00,2026-07-30,train,False
3,scd_temp_c,gradual_shift,amplitude_mad_multiple,0.5,0.0133514404296875,149276,149335,60,2026-08-08 21:52:50.616728+00:00,2026-08-08 22:22:20.621628+00:00,2026-08-09,train,False
4,scd_temp_c,gradual_shift,amplitude_mad_multiple,0.5,0.0133514404296875,34742,34801,60,2026-06-30 02:46:21.022152+00:00,2026-06-30 03:15:51.026998+00:00,2026-06-30,train,False
5,scd_temp_c,gradual_shift,amplitude_mad_multiple,0.5,0.0133514404296875,29536,29595,60,2026-06-28 07:20:16.987822+00:00,2026-06-28 07:49:46.992721+00:00,2026-06-28,train,False
6,scd_temp_c,gradual_shift,amplitude_mad_multiple,0.5,0.0133514404296875,125664,125723,60,2026-07-31 17:06:48.031394+00:00,2026-07-31 17:36:18.038811+00:00,2026-07-31,train,True
7,scd_temp_c,gradual_shift,amplitude_mad_multiple,0.5,0.0133514404296875,149394,149453,60,2026-08-08 22:51:50.627883+00:00,2026-08-08 23:21:20.633276+00:00,2026-08-09,train,True
8,scd_temp_c,gradual_shift,amplitude_mad_multiple,0.5,0.0133514404296875,201562,201621,60,2026-08-27 10:30:15.862364+00:00,2026-08-27 10:59:45.867211+00:00,2026-08-27,train,False
9,scd_temp_c,gradual_shift,amplitude_mad_multiple,0.5,0.0133514404296875,168045,168104,60,2026-08-15 10:17:22.583563+00:00,2026-08-15 10:46:52.588472+00:00,2026-08-15,train,True
10,scd_temp_c,gradual_shift,amplitude_mad_multiple,0.5,0.0133514404296875,143666,143725,60,2026-08-06 23:07:50.046826+00:00,2026-08-06 23:37:20.051836+00:00,2026-08-07,train,False
11,scd_temp_c,gradual_shift,amplitude_mad_multiple,0.5,0.0133514404296875,148533,148592,60,2026-08-08 15:41:20.540917+00:00,2026-08-08 16:10:50.545873+00:00,2026-08-08,train,False
12,scd_temp_c,gradual_shift,amplitude_mad_multiple,0.5,0.0133514404296875,78881,78940,60,2026-07-15 11:10:12.938592+00:00,2026-07-15 11:39:42.943507+00:00,2026-07-15,test,False
13,scd_temp_c,gradual_shift,amplitude_mad_multiple,0.5,0.0133514404296875,6686,6745,60,2026-06-20 05:10:13.050448+00:00,2026-06-20 05:39:43.055188+00:00,2026-06-20,train,False
14,scd_temp_c,gradual_shift,amplitude_mad_multiple,0.5,0.0133514404296875,117392,117451,60,2026-07-28 20:06:26.923347+00:00,2026-07-28 20:35:56.933618+00:00,2026-07-28,train,False
15,scd_temp_c,gradual_shift,amplitude_mad_multiple,0.5,0.0133514404296875,54921,54980,60,2026-07-07 03:30:10.729841+00:00,2026-07-07 03:59:40.734661+00:00,2026-07-07,train,False
16,scd_temp_c,gradual_shift,amplitude_mad_multiple,0.5,0.0133514404296875,108781,108840,60,2026-07-25 20:20:20.659886+00:00,2026-07-25 20:49:50.664771+00:00,2026-07-25,train,False
17,scd_temp_c,gradual_shift,amplitude_mad_multiple,0.5,0.0133514404296875,223079,223138,60,2026-09-03 21:48:47.717838+00:00,2026-09-03 22:18:17.722702+00:00,2026-09-04,train,False
18,scd_temp_c,gradual_shift,amplitude_mad_multiple,0.5,0.0133514404296875,62218,62277,60,2026-07-09 16:18:41.515584+00:00,2026-07-09 16:48:11.520449+00:00,2026-07-09,train,False
19,scd_temp_c,gradual_shift,amplitude_mad_multiple,1.0,0.0133514404296875,16741,16800,60,2026-06-23 17:06:51.640613+00:00,2026-06-23 17:36:21.645378+00:00,2026-06-23,train,True
20,scd_temp_c,gradual_shift,amplitude_mad_multiple,1.0,0.0133514404296875,74009,74068,60,2026-07-13 18:34:12.517455+00:00,2026-07-13 19:03:42.523345+00:00,2026-07-13,train,False
21,scd_temp_c,gradual_shift,amplitude_mad_multiple,1.0,0.0133514404296875,78406,78465,60,2026-07-15 07:12:42.898951+00:00,2026-07-15 07:42:12.903816+00:00,2026-07-15,test,True
22,scd_temp_c,gradual_shift,amplitude_mad_multiple,1.0,0.0133514404296875,172567,172626,60,2026-08-16 23:58:22.991219+00:00,2026-08-17 00:27:52.996134+00:00,2026-08-17,test,True
23,scd_temp_c,gradual_shift,amplitude_mad_multiple,1.0,0.0133514404296875,147715,147774,60,2026-08-08 08:52:20.458205+00:00,2026-08-08 09:21:50.463088+00:00,2026-08-08,train,False
24,scd_temp_c,gradual_shift,amplitude_mad_multiple,1.0,0.0133514404296875,208512,208571,60,2026-08-29 20:25:16.450522+00:00,2026-08-29 20:54:46.455319+00:00,2026-08-29,test,False
25,scd_temp_c,gradual_shift,amplitude_mad_multiple,1.0,0.0133514404296875,175807,175866,60,2026-08-18 02:58:41.495127+00:00,2026-08-18 03:28:11.501249+00:00,2026-08-18,train,False
26,scd_temp_c,gradual_shift,amplitude_mad_multiple,1.0,0.0133514404296875,107160,107219,60,2026-07-25 06:49:50.425301+00:00,2026-07-25 07:19:20.430128+00:00,2026-07-25,train,False
27,scd_temp_c,gradual_shift,amplitude_mad_multiple,1.0,0.0133514404296875,212368,212427,60,2026-08-31 04:33:16.776645+00:00,2026-08-31 05:02:46.781450+00:00,2026-08-31,train,False
28,scd_temp_c,gradual_shift,amplitude_mad_multiple,1.0,0.0133514404296875,43568,43627,60,2026-07-03 04:51:44.263884+00:00,2026-07-03 05:21:14.268721+00:00,2026-07-03,train,False
29,scd_temp_c,gradual_shift,amplitude_mad_multiple,1.0,0.0133514404296875,6005,6064,60,2026-06-19 23:29:42.995083+00:00,2026-06-19 23:59:12.999851+00:00,2026-06-20,train,False
30,scd_temp_c,gradual_shift,amplitude_mad_multiple,1.0,0.0133514404296875,24720,24779,60,2026-06-26 15:12:16.555905+00:00,2026-06-26 15:41:46.560721+00:00,2026-06-26,test,False
31,scd_temp_c,gradual_shift,amplitude_mad_multiple,1.0,0.0133514404296875,190387,190446,60,2026-08-23 13:22:44.904665+00:00,2026-08-23 13:52:14.909483+00:00,2026-08-23,train,False
32,scd_temp_c,gradual_shift,amplitude_mad_multiple,1.0,0.0133514404296875,122402,122461,60,2026-07-30 13:51:27.600940+00:00,2026-07-30 14:20:57.605846+00:00,2026-07-30,train,False
33,scd_temp_c,gradual_shift,amplitude_mad_multiple,1.0,0.0133514404296875,42285,42344,60,2026-07-02 18:10:14.157607+00:00,2026-07-02 18:39:44.162578+00:00,2026-07-02,train,True
34,scd_temp_c,gradual_shift,amplitude_mad_multiple,1.0,0.0133514404296875,134537,134596,60,2026-08-03 19:03:18.874946+00:00,2026-08-03 19:32:48.884264+00:00,2026-08-03,test,False
35,scd_temp_c,gradual_shift,amplitude_mad_multiple,1.0,0.0133514404296875,184060,184119,60,2026-08-21 08:39:14.367190+00:00,2026-08-21 09:08:44.371997+00:00,2026-08-21,train,False
36,scd_temp_c,gradual_shift,amplitude_mad_multiple,1.0,0.0133514404296875,117968,118027,60,2026-07-29 00:54:27.019912+00:00,2026-07-29 01:23:57.024778+00:00,2026-07-29,train,False
